kieu,span_train,span_dev,dung,sai_lan_kieu,thieu_sot_bien,thua_bia_ra,precision,recall,f1,trang_thai,nguyen_nhan,bi_lan_sang,vi_du_noi,vi_du_viet,vi_du_mo_hinh_lam_dung,vi_du_mo_hinh_lam_sai,vi_du_khac
LOCATION_NAME,209,150,105,27,18,15,0.587,0.7,0.638,ĐẠT,lẫn kiểu,PERSON_NAME:27,bắc,Bắc,bắc; quảng trị,hồng cúm -> đoán PERSON_NAME; xuân (không khoanh ra),hồng cúm; quảng trị
PERSON_NAME,197,102,74,17,11,29,0.366,0.725,0.487,YẾU,lẫn kiểu,LOCATION_NAME:17,hồ thị bi,Hồ Thị Bi,hồ thị bi; phùng văn khầu,la văn cầu (không khoanh ra); bác (không khoanh ra),phùng văn khầu; pao
CARDINAL,129,64,1,54,9,1,0.5,0.016,0.03,YẾU,lẫn kiểu,DATE:25; LOCATION_NAME:19; PERSON_NAME:9,ba trăm,300,mười,ba trăm -> đoán PERSON_NAME; hai -> đoán PERSON_NAME,hai; mười bảy
DATE,50,29,24,0,5,12,0.173,0.828,0.286,YẾU,sót biên,,năm một nghìn chín trăm ba mươi bảy,1937,năm một nghìn chín trăm ba mươi bảy; một nghìn chín trăm bảy mươi mốt,một nghìn chín trăm bảy mươi hai (không khoanh ra); một nghìn chín trăm năm mươi (không khoanh ra),một nghìn chín trăm bảy mươi mốt; một nghìn chín trăm bảy mươi hai
ACRONYM,25,17,0,14,3,0,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,PERSON_NAME:12; O:2,k c b,KCB,(không có),k c b -> đoán PERSON_NAME; k c b -> đoán PERSON_NAME,k c b; k c b
ELECTRONIC,22,15,0,15,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,LOCATION_NAME:14; DATE:1,www.vinamarine.gov.vn,www.vinamarine.gov.vn,(không có),www.vinamarine.gov.vn -> đoán LOCATION_NAME; info@canhsatbien.vn -> đoán LOCATION_NAME,info@canhsatbien.vn; portal.bienphong.gov.vn
MEASURE,28,13,0,13,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,PERSON_NAME:5; O:4; DATE:4,hai mươi ki lô mét,20 km,(không có),hai mươi ki lô mét -> đoán O; hai trăm hải lý -> đoán DATE,hai trăm hải lý; sáu mươi ký
IMO_ID,22,11,0,10,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,DATE:10,i em ô không một hai ba bốn năm sáu,IMO 0123456,(không có),i em ô không một hai ba bốn năm sáu -> đoán DATE; i em ô tám chín không một hai ba bốn -> đoán DATE,i em ô tám chín không một hai ba bốn; i em ô bốn năm sáu bảy tám chín không
EQUIPMENT_ID,18,8,0,7,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:4; DATE:3,bê năm mươi hai,B-52,(không có),bê năm mươi hai -> đoán DATE; bê năm mươi hai -> đoán PERSON_NAME,bê năm mươi hai; bê năm mươi hai
DIGIT_SEQ,9,8,0,7,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:6; PERSON_NAME:1,không chín một năm,0915,(không có),không chín một năm -> đoán DATE; tám hai ba một -> đoán DATE,tám hai ba một; ba mươi
FRACTION,3,8,0,8,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,LOCATION_NAME:4; PERSON_NAME:2; DATE:2,hai phần ba,2/3,(không có),hai phần ba -> đoán LOCATION_NAME; hai phần ba -> đoán LOCATION_NAME,hai phần ba; hai phần ba
