kieu,span_train,span_dev,dung,sai_lan_kieu,thieu_sot_bien,thua_bia_ra,precision,recall,f1,trang_thai,nguyen_nhan,bi_lan_sang,vi_du_noi,vi_du_viet,vi_du_mo_hinh_lam_dung,vi_du_mo_hinh_lam_sai,vi_du_khac,f1_dev_tong_hop,span_dev_tong_hop,f1_truoc,thay_doi,span_train_truoc,viec_can_lam
LOCATION_NAME,1157,150,138,1,11,14,0.902,0.92,0.911,ĐẠT,sót biên,FOREIGN_NAME:1,bắc,Bắc,bắc; hồng cúm,xuân (không khoanh ra); kharkov -> đoán FOREIGN_NAME,hồng cúm -> Hồng Cúm; quảng trị -> Quảng Trị; xuân -> Xuân; phú quốc -> Phú Quốc; sài gòn -> Sài Gòn; việt nam -> Việt Nam; kharkov -> Kharkov; ukraine -> Ukrai,,0,0.902,0.009,1157,đạt — không cần thêm
PERSON_NAME,1570,102,91,1,10,8,0.91,0.892,0.901,ĐẠT,sót biên,LOCATION_NAME:1,hồ thị bi,Hồ Thị Bi,hồ thị bi; phùng văn khầu,la văn cầu (không khoanh ra); bác (không khoanh ra),phùng văn khầu -> Phùng Văn Khầu; pao -> Pao; la văn cầu -> La Văn Cầu; la văn cầu -> La Văn Cầu; la văn cầu -> La Văn Cầu; la văn cầu -> La Văn Cầu; la văn cầu,0.993,139,0.912,-0.011,1570,đạt — không cần thêm
CARDINAL,1038,64,52,2,10,7,0.867,0.812,0.839,ĐẠT,sót biên,PERSON_NAME:1; DATE:1,ba trăm,300,hai; mười bảy,ba trăm (không khoanh ra); ba (không khoanh ra),hai -> 2; mười bảy -> 17; ba -> 3; ba -> 3; tám mươi -> 80; mười một -> 11; mười hai -> 12; mười một -> 11; sáu mươi bảy -> 67; tám mươi -> 80; một trăm tám mươ,1.0,55,0.821,0.018,1038,đạt — không cần thêm
DATE,697,29,23,0,6,7,0.742,0.793,0.767,ĐẠT,sót biên,,năm một nghìn chín trăm ba mươi bảy,1937,năm một nghìn chín trăm ba mươi bảy; một nghìn chín trăm bảy mươi mốt,một nghìn chín trăm bảy mươi hai (không khoanh ra); một nghìn chín trăm năm mươi (không khoanh ra),một nghìn chín trăm bảy mươi mốt -> 1971; một nghìn chín trăm bảy mươi hai -> 1972; năm một nghìn chín trăm bảy mươi một nghìn chín trăm bảy mươi mốt -> 972971;,1.0,2,0.767,0.0,697,sót biên — cần câu dài/nhiều span hơn
ACRONYM,1268,17,16,0,1,0,0.889,0.941,0.914,ĐẠT,sót biên,,k c b,KCB,k c b; k c b,ủy ban nhân dân (không khoanh ra),hát ép -> HF; đ v t n -> ĐVTN; đ v t n -> ĐVTN; đ v t n -> ĐVTN; ủy ban nhân dân -> UBND; u bê en đê -> UBND; s s c đ -> SSCĐ; giê pê ét -> GPS; em ép -> MF; v ,1.0,179,0.8,0.114,1268,đạt — không cần thêm
MEASURE,1135,13,11,2,0,2,0.647,0.846,0.733,ĐẠT,lẫn kiểu,DISTANCE:1; DEPTH:1,hai mươi ki lô mét,20 km,hai mươi ki lô mét; sáu mươi ký,hai trăm hải lý -> đoán DISTANCE; ba phẩy tám bar -> đoán DEPTH,"hai trăm hải lý -> 200 NM; sáu mươi ký -> 60 kg; sáu phẩy tám bar -> 6,8 bar; mười hai ký -> 12 kg; ba phẩy tám bar -> 3,8 bar; ba phẩy tám bar -> 3,8 bar; hai ",1.0,150,0.743,-0.01,1135,lẫn kiểu — cần mẫu PHÂN BIỆT với DISTANCE
IMO_ID,551,11,11,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,i em ô không một hai ba bốn năm sáu,IMO 0123456,i em ô không một hai ba bốn năm sáu; i em ô tám chín không một hai ba bốn,(không có),i em ô tám chín không một hai ba bốn -> IMO 8901234; i em ô bốn năm sáu bảy tám chín không -> IMO 4567890; i em ô bảy bảy tám tám chín chín không -> IMO 7788990,,0,1.0,0.0,551,đạt — không cần thêm
DIGIT_SEQ,911,8,6,1,1,0,1.0,0.75,0.857,ĐẠT,lẫn kiểu,CARDINAL:1,không chín một năm,0915,không chín một năm; tám hai ba một,ba mươi -> đoán CARDINAL; một (không khoanh ra),tám hai ba một -> 8231; ba mươi -> 30; không chín sáu năm -> 0965; bảy tám chín không -> 7890; bảy bốn năm sáu -> 7456; một -> 1; không chín năm sáu -> 0956; ha,1.0,103,0.556,0.301,911,đạt — không cần thêm
FRACTION,734,8,7,0,1,0,1.0,0.875,0.933,ĐẠT,sót biên,,hai phần ba,2/3,hai phần ba; hai phần ba,hai phần ba (không khoanh ra),một phần tư -> 1/4; một phần tư -> 1/4; một phần tư -> 1/4; một phần tư -> 1/4; hai phần năm -> 2/5; một phần ba -> 1/3; một phần ba -> 1/3; hai phần năm -> 2/5,1.0,54,0.533,0.4,734,đạt — không cần thêm
EQUIPMENT_ID,549,8,7,1,0,0,1.0,0.875,0.933,ĐẠT,lẫn kiểu,CALLSIGN:1,bê năm mươi hai,B-52,bê năm mươi hai; bê năm mươi hai,pê tám không không -> đoán CALLSIGN,pê tám không không -> P-800; xu ba mươi -> Su-30; tê chín không -> T-90; su ba mươi em ka hai -> Su-30MK2; míc hai mốt -> MiG-21; mờ bốn a một -> M4A1; a ka bốn,,0,0.875,0.058,549,đạt — không cần thêm
